Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
,5571,15/02/2017,Power for Wales Inc ,Pistyllgwyn Farm,Solar Photovoltaics,1.5,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Land At Pistyllgwyn, Bronwydd Arms, Carmarthen",Carmarthenshire,Wales,Wales,SA33 6JD,"241,250","224,375",Carmarthenshire County Council,W/32460,,,,,,06/08/2015,,,,,,,21/12/2015,,,,21/12/2020,,
,5575,24/04/2017,Luminous Energy,Llwyndyrys Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Llwyndyrys Farm, Y Ffor, Pwllheli",Gwynedd,Wales,Wales,LL53 6RH,"238,824","340,269",Gwynedd Council,C15/0810/40/LL,,,,,,10/08/2015,,,,,,,09/11/2015,,,,09/11/2020,,
,5586,06/01/2016,Sovereign Partners,West Orielton Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Application Withdrawn,Application Withdrawn,"Orielton Home Farm, Orielton, Pembroke, Dyfed",Pembrokeshire,Wales,Wales,SA71 5EZ,"195,561","199,340",Pembrokeshire County Council,15/0442/PA,,,,,,05/08/2015,04/11/2015,,,,,,,,,,,,
,5593,18/07/2017,Suncredit UK,Carn Nicholas Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Land At Carn Nicholas Farm, Bonymaen, Swansea",Swansea,Wales,Wales,SA1 7BL,"267,843","194,294",City and County Council of Swansea,2015/1546,,,,,,10/08/2015,,,,,,,14/12/2015,,,,14/12/2020,,
,5598,05/07/2017,Wind Power Wales,Brenig Wind Farm (Resubmission),Wind Onshore,37.6,n/a,,,,3,16,110,n/a,Appeal Granted,Awaiting Construction,"Land east of Llyn Brenig, Nantglyn, Denbigh, Clwyd",Denbighshire,Wales,Wales,,"299,481","357,920",Denbighshire County Council,25/2015/0636,APP/R6830/A/15/3141249,,,,,18/06/2015,,19/11/2015,27/01/2016,,,18/05/2016,18/05/2016,,,,,,
,5605,24/10/2016,Associated British Ports (ABP),Port of Barry (Resubmission) - Site 2,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Atlantic Way, Port of Barry, Barry",Vale of Glamorgan,Wales,Wales,CF63 3RA,"312,836","167,102",Vale of Glamorgan Council,2015/00173/FUL,,,,,,18/02/2013,,,,,,,15/04/2015,,,,15/04/2020,15/01/2015,16/04/2015
,5624,06/10/2015,Awel Aman Tawe Community Energy,Mynydd Y Gwrhyd Windfarm (resubmission),Wind Onshore,4.7,n/a,,,,2.35,2,100,n/a,Abandoned,Abandoned,"Mynydd Gwrhyd, (OS 727 107) north of Pontardawe and east of Cwmgors",Neath Port Talbot,Wales,Wales,,"273,119","210,852",Neath Port Talbot County Borough Council,P2007/1413,APP/Y6930/A/08/2092727,,,,,20/09/2007,,17/06/2008,15/12/2008,,,07/05/2009,07/05/2009,,,,07/05/2014,,
,5675,21/11/2016,Caledon Partners (Solar Power Parks),Castell Ddu Solar Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Land associated with Castell D, Castell Ddu Road, Pontarddulais",Swansea,Wales,Wales,SA4 8DH,"259,871","201,517",City and County Council of Swansea,2015/1786,,,,,,09/09/2015,,,,,,,14/01/2016,,,,14/01/2019,,
,5683,13/04/2016,Active Renewables,Mamhilad Solar Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Abandoned,Abandoned,"Land South of Little Mill Brickworks, Little Mill, Pontypool, Gwent",Torfaen,Wales,Wales,NP4 0HD,"331,456","202,012",Torfaen County Borough Council,15/P/00436,,,,,,24/08/2015,,,,,,,22/12/2015,,,,,,
,5700,02/12/2015,Lightsource Renewable Energy,Land West Of Erlas Hall,Solar Photovoltaics,4,n/a,,,,n/a,n/a,n/a,Ground,Planning Application Withdrawn,Application Withdrawn,"Land West Of Erlas Hall, Erlas Lane",Wrexham,Wales,Wales,LL13 0PE,"337,282","350,765",Wrexham County Borough Council,P/2015/0640,,,,,,24/08/2015,11/11/2015,,,,,,,,,,,,
,5730,17/05/2017,Earthworm,Maesygarn,Solar Photovoltaics,10,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Maesygarn, Gorsgoch, Llanybydder, Dyfed",Ceredigion,Wales,Wales,SA40 9TR,"247,811","249,371",Ceredigion County Council,A150539,,,,,,12/08/2015,,,,,,,16/08/2016,,,,16/08/2021,,
,5747,24/03/2017,Langdon Enterprises,Langdon Mill,Anaerobic Digestion,1,Yes,,,,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Langdon Mill, Begelly, Kilgetty, Dyfed",Pembrokeshire,Wales,Wales,SA68 0NJ,"208,580","207,612",Pembrokeshire County Council,15/0421/PA,,,,,,03/08/2015,,,,,,,11/12/2015,,,,11/12/2020,01/03/2017,
,5788,05/11/2015,Ystalyfera Wind Energy,Varteg Hill,Wind Onshore,3,n/a,,,,3,4,115,n/a,Planning Application Submitted,Application Submitted,"Varteg Wind Farm, Land South Of, Ystalyfera, Swansea",Neath Port Talbot,Wales,Wales,CH7,"277,400","207,500",Neath Port Talbot County Borough Council,P2015/0859,,,,,,17/09/2015,,,,,,,,,,,,,
,5802,27/06/2017,Vortex (formerly SunEdison),Cefn Cae For,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Cefn Caer For, Gwalchmai, Holyhead",Isle of Anglesey,Wales,Wales,LL65 4SF,"239,589","374,868",Isle of Anglesey County Council,48C160C/RE,,,,,,27/09/2015,,,,,,,11/02/2016,,,,,,
,5805,18/04/2017,Perpetum Sun,Magor Brewery,Solar Photovoltaics,1.7,n/a,,,,n/a,n/a,n/a,Roof,Planning Permission Granted,Awaiting Construction,"Magor Brewery, Newport Road, Magor, Caldicot",Monmouthshire,Wales,Wales,NP26 3RA,"341,574","187,703",Monmouthshire County Council,DC/2015/01158,,,,,,28/09/2015,,,,,,,30/10/2015,,,,30/10/2020,,
,5817,19/05/2017,West Coast Energy,Land South of Ystalyfera,Wind Onshore,12,n/a,,,,3,4,115,n/a,Planning Application Submitted,Application Submitted,"Varteg Hill Land South of, Neath",Powys,Wales,Wales,SA9,"277,400","207,500",Powys County Council,P/2015/0803,,,,,,17/09/2015,,,,,,,,,,,,,
,5823,13/04/2016,Active Renewables,Land East of Panteg Way,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Abandoned,Abandoned,"Land East of, Panteg Way, Pontypool",Torfaen,Wales,Wales,NP4 0LS,"329,979","198,509",Torfaen County Borough Council,15/P/00437,,,,,,25/09/2015,,,,,,,22/12/2015,,,,,,
