competence,category,IPCC,BaseYear,1990,1995,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
WG,Business,2F1a_Commercial_refrigeration,4.58,0.00,4.58,36.92,53.15,72.18,86.09,100.64,118.03,137.11,151.61,165.83,176.05,177.67,185.10,195.25,146.48,151.86,152.31,144.52,134.97
WG,Business,2F1b_Domestic_refrigeration,0.75,0.00,0.75,1.61,1.85,2.05,2.21,2.33,2.41,2.47,2.49,2.71,2.90,3.04,12.79,11.88,10.67,9.52,8.44,7.40,6.14
WG,Business,2F1c_Industrial_refrigeration,6.53,0.00,6.53,14.87,18.99,24.02,28.30,32.80,38.43,44.78,48.85,53.82,57.56,57.68,59.70,65.43,60.56,64.77,68.14,68.62,70.73
WG,Business,2F1d_Transport_refrigeration,1.54,0.00,1.54,5.39,7.05,9.01,11.53,13.56,16.21,18.52,18.92,20.74,21.73,21.20,21.67,22.48,22.07,22.93,23.51,23.43,25.29
WG,Business,2F1e_Mobile_air_conditioning,8.10,0.00,8.10,25.84,33.02,40.63,43.81,53.91,62.02,51.03,83.03,88.95,95.51,102.79,110.03,113.14,115.74,117.63,118.30,119.63,120.39
WG,Business,2F1f_Stationary_air_conditioning,0.37,0.00,0.37,4.30,7.25,11.76,16.91,23.40,31.57,40.01,48.79,58.46,68.54,77.92,88.71,101.82,109.17,118.81,128.73,137.62,145.06
WG,Business,2F2a_Closed_foam_blowing_agents,0.00,0.00,0.00,0.29,1.05,2.28,4.97,8.49,15.34,16.79,17.65,18.79,19.95,15.63,15.77,16.05,16.20,16.69,17.20,18.11,19.05
WG,Business,2F2b_Open_foam_blowing_agents,9.14,0.00,9.14,8.58,6.79,5.01,5.18,5.36,5.55,5.74,5.90,6.07,6.25,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WG,Business,2F3_Fire_Protection,0.07,0.00,0.07,0.68,0.81,1.64,4.03,7.31,10.75,11.04,9.41,9.60,9.78,9.91,9.96,10.38,11.14,11.62,11.88,12.22,12.56
WG,Business,2F5_Solvents,0.00,0.00,0.00,0.00,0.00,0.13,0.38,0.64,0.98,1.43,1.90,2.37,2.81,2.59,2.02,2.16,2.15,2.11,2.27,2.27,2.43
